user_id,skill_name,correct
634,56,1
814,90,0
814,90,1
634,75,1
451,56,1
814,96,1
634,76,1
451,75,1
634,2,0
634,2,1
634,77,0
528,12,0
451,76,0
451,76,1
451,2,0
795,56,1
451,2,0
814,6,1
451,2,0
451,2,1
451,77,0
795,75,1
495,56,1
451,77,0
634,77,0
451,77,1
528,12,0
495,75,0
223,56,1
495,75,1
223,75,1
495,76,1
272,50,0
495,2,0
495,2,1
223,76,1
814,93,1
223,2,1
223,77,0
495,77,0
495,77,0
223,77,1
634,77,0
634,77,0
272,50,0
495,77,0
495,77,0
814,9,1
451,1,0
451,1,0
451,1,1
230,77,0
230,77,0
230,77,0
269,56,1
269,75,1
814,45,0
269,76,1
269,2,0
269,2,1
269,77,0
269,77,0
272,12,0
269,77,0
269,77,0
269,77,0
269,77,0
269,77,0
684,1,0
269,77,0
684,1,0
684,1,1
766,56,1
269,77,0
269,77,0
766,75,1
272,12,1
269,77,0
766,76,1
766,2,1
272,12,0
766,77,0
734,75,1
766,77,0
272,12,1
766,77,0
766,77,0
734,76,1
272,12,0
734,2,0
734,2,0
734,2,1
734,77,0
734,77,0
734,77,0
766,1,0
766,1,0
734,77,0
766,1,0
734,77,0
734,77,1
272,47,1
272,47,1
684,3,0
272,47,1
602,56,1
788,1,0
684,3,0
602,75,1
602,76,1
602,2,1
602,77,0
602,77,0
602,77,0
602,77,0
602,77,1
272,12,0
684,79,0
416,56,1
602,11,1
47,77,0
47,77,1
602,79,1
602,80,0
602,80,0
272,8,0
602,13,1
433,56,1
602,13,1
602,13,0
221,77,0
503,56,1
221,77,0
503,75,1
423,79,1
788,3,0
788,3,0
423,80,0
602,13,1
433,75,1
